#{"t_start": 1746033482.810015, "env_id": "None"}
r,l,t
1.0,10,23.531719
-10.0,10,23.540439
10.0,10,23.549078
10.0,10,23.557696
10.0,10,23.566998
10.0,10,23.575949
2.0,10,23.584544
-8.0,10,23.593094
10.0,10,23.601675
-10.0,10,23.61024
5.0,10,23.618792
10.0,10,23.627394
10.0,10,23.635822
5.0,10,23.644576
7.0,10,23.65311
10.0,10,23.661643
-5.5,10,23.670123
10.0,10,23.67871
-10.0,10,23.687173
10.0,10,23.695786
-10.0,10,23.704293
-20.0,10,23.712822
-8.5,10,23.721382
5.0,10,23.729903
10.0,10,23.738438
-5.5,10,23.74693
10.0,10,23.755397
10.0,10,23.763819
-5.0,10,23.772362
-10.0,10,23.780804
-2.5,10,23.789464
-5.0,10,23.797934
10.0,10,23.806404
10.0,10,23.814878
5.0,10,23.823348
4.0,10,23.831844
-10.0,10,23.840306
5.0,10,23.848807
-2.0,10,23.8573
-10.0,10,23.865764
10.0,10,23.874313
5.0,10,23.88277
-1.0,10,23.891219
10.0,10,23.899734
5.0,10,23.908243
5.0,10,23.916728
-10.0,10,23.925265
-4.0,10,23.933713
10.0,10,23.942237
-10.0,10,23.950673
10.0,10,45.786457
10.0,10,45.795109
10.0,10,45.80358
-1.0,10,45.812089
-10.0,10,45.820561
-10.0,10,45.828993
10.0,10,45.837386
10.0,10,45.845809
5.0,10,45.854246
5.0,10,45.862704
10.0,10,45.871119
10.0,10,45.879555
-2.5,10,45.887978
10.0,10,45.896456
3.5,10,45.905552
10.0,10,45.914095
-8.5,10,45.922689
10.0,10,45.931105
3.5,10,45.939517
10.0,10,45.947953
5.0,10,45.956443
5.0,10,45.965185
-11.0,10,45.973617
5.0,10,45.982067
5.0,10,45.990458
-4.0,10,45.998855
4.0,10,46.007334
-5.5,10,46.015761
5.0,10,46.024174
5.0,10,46.032567
10.0,10,46.040963
5.0,10,46.04941
7.0,10,46.057831
-10.0,10,46.066256
10.0,10,46.074889
4.0,10,46.083423
10.0,10,46.091856
10.0,10,46.100305
5.0,10,46.108687
5.0,10,46.117037
5.0,10,46.125414
3.5,10,46.133771
10.0,10,46.142172
10.0,10,46.150594
2.0,10,46.159091
5.0,10,46.167533
-5.0,10,46.175909
5.0,10,46.184292
5.0,10,46.192695
-5.0,10,46.201207
3.5,10,68.431241
10.0,10,68.43991
5.0,10,68.44844
1.0,10,68.457051
4.0,10,68.465539
10.0,10,68.474056
10.0,10,68.482522
-2.0,10,68.491023
10.0,10,68.500093
3.5,10,68.508597
10.0,10,68.517091
-1.0,10,68.52565
10.0,10,68.534154
3.5,10,68.543085
-5.5,10,68.551901
1.0,10,68.560943
10.0,10,68.569943
10.0,10,68.578919
5.0,10,68.587722
-2.0,10,68.596624
3.5,10,68.605433
10.0,10,68.61429
10.0,10,68.623155
5.0,10,68.632093
-20.0,10,68.640925
-2.5,10,68.649813
5.0,10,68.658674
10.0,10,68.667533
5.0,10,68.676431
5.0,10,68.685434
-10.0,10,68.694263
5.0,10,68.70317
10.0,10,68.712017
1.0,10,68.720922
-8.0,10,68.729737
10.0,10,68.738959
10.0,10,68.747848
-10.0,10,68.756659
10.0,10,68.765645
-10.0,10,68.774955
5.0,10,68.783771
-2.0,10,68.792642
-7.0,10,68.801585
10.0,10,68.810422
5.0,10,68.819398
10.0,10,68.828224
