#{"t_start": 1746033477.6487403, "env_id": "None"}
r,l,t
-4.0,10,6.753233
-4.0,10,6.778484
-4.0,10,6.799419
-1.0,10,6.820335
-2.0,10,6.841047
-2.0,10,6.862094
1.0,10,6.883114
-8.0,10,6.904069
-8.0,10,6.924985
-1.0,10,6.945778
2.0,10,6.966869
4.0,10,6.988182
-8.0,10,7.009047
-5.0,10,7.029804
-11.0,10,7.050655
-2.5,10,7.071353
-2.5,10,7.092206
-8.0,10,7.113233
-5.5,10,7.134334
-5.5,10,7.155528
-2.5,10,7.177114
-14.0,10,7.199275
-5.5,10,7.220611
4.0,10,7.242767
-4.0,10,7.264753
-5.5,10,7.286258
-8.0,10,7.30698
-2.5,10,7.328566
1.0,10,7.349989
-5.5,10,7.371575
-4.0,10,7.393616
-2.5,10,7.41541
-2.5,10,7.436942
-8.0,10,7.459133
-5.0,10,7.481106
-11.0,10,7.502693
-2.0,10,7.524415
-8.0,10,7.54543
-8.0,10,7.567559
-1.0,10,7.589785
-11.0,10,7.611758
0.5,10,7.633546
-5.5,10,7.65611
-1.0,10,7.678078
-2.0,10,7.699943
-4.0,10,7.721668
-1.0,10,7.743827
-5.0,10,7.766331
-8.0,10,7.788125
-5.5,10,7.809853
-4.0,10,7.830962
-1.0,10,7.851688
-2.5,10,7.87279
-5.5,10,7.894081
0.5,10,7.915468
-2.5,10,7.936502
1.0,10,7.958108
-11.0,10,7.979902
-4.0,10,8.001425
-7.0,10,8.022458
2.0,10,8.043812
-4.0,10,8.066055
-5.0,10,8.087711
-4.0,10,8.109061
-5.0,10,8.131016
-2.5,10,8.152807
-8.0,10,8.174246
-5.0,10,8.195388
-5.0,10,8.216618
-1.0,10,8.238473
0.5,10,8.260229
-5.0,10,8.282196
-2.5,10,8.304503
-4.0,10,8.325772
0.5,10,8.348267
0.5,10,8.370179
-5.0,10,8.391866
0.5,10,8.413167
-14.0,10,8.434801
-8.0,10,8.455728
0.5,10,8.477034
-5.0,10,8.498041
-4.0,10,8.5198
-2.0,10,8.541409
1.0,10,8.56304
-2.5,10,8.585314
-5.5,10,8.607034
-4.0,10,8.628705
-5.0,10,8.650479
-8.0,10,8.672348
3.5,10,8.694667
-4.0,10,8.716657
-5.5,10,8.738385
-2.5,10,8.760127
-8.0,10,8.782117
1.0,10,8.804057
-5.0,10,8.825808
-2.0,10,8.847343
-4.0,10,8.869737
-5.0,10,8.891038
0.5,10,8.912403
-5.0,10,8.934001
-8.0,10,8.955598
-14.0,10,8.977241
-2.5,10,8.998886
-5.5,10,9.020054
3.5,10,9.041455
-5.5,10,9.062874
-4.0,10,9.084744
-5.0,10,9.106882
-4.0,10,9.135974
-2.5,10,9.156222
-2.5,10,9.176376
-8.0,10,9.196794
-14.0,10,9.217212
-2.5,10,9.238065
-8.0,10,9.259396
-1.0,10,9.282177
-8.0,10,9.303467
-2.5,10,9.325074
0.5,10,9.346067
-8.0,10,9.367118
-2.5,10,9.388977
0.5,10,9.410655
0.5,10,9.432682
-8.0,10,9.454477
-14.0,10,9.476115
0.5,10,9.498104
-4.0,10,9.51967
1.0,10,9.541626
-8.0,10,9.56307
-2.0,10,9.585568
-11.0,10,9.61265
-2.0,10,9.639
4.0,10,9.660213
-1.0,10,9.681355
-7.0,10,9.702821
-1.0,10,9.724118
-4.0,10,9.745621
1.0,10,9.767321
-4.0,10,9.788643
-8.0,10,9.811574
-1.0,10,9.849344
-8.0,10,9.881381
-8.0,10,9.909038
-2.5,10,9.929765
-2.0,10,9.950632
2.0,10,9.971826
-11.0,10,9.992753
-2.5,10,10.014161
-8.0,10,10.035696
-7.0,10,10.057087
-2.5,10,10.078377
-2.0,10,10.100203
-4.0,10,10.121474
-2.5,10,10.143458
-2.0,10,10.165372
-11.0,10,10.18697
-1.0,10,10.208656
2.0,10,10.229874
-11.0,10,10.252108
4.0,10,10.2741
-4.0,10,10.296382
-11.0,10,10.318043
-2.5,10,10.339067
0.5,10,10.360436
-4.0,10,10.381629
-5.5,10,10.403473
-2.5,10,10.425043
-14.0,10,10.44619
0.5,10,10.467071
-5.5,10,10.488027
-1.0,10,10.50922
-11.0,10,10.530385
1.0,10,10.551473
-5.0,10,10.572762
-8.0,10,10.594057
-1.0,10,10.615026
-4.0,10,10.63665
-5.0,10,10.657981
-4.0,10,10.678879
-5.5,10,10.700137
-5.0,10,10.7211
-2.0,10,10.742197
-1.0,10,10.763776
-8.0,10,10.78541
-4.0,10,10.806822
-2.0,10,10.827688
-2.0,10,10.848919
-8.0,10,10.870058
-2.5,10,10.891376
-4.0,10,10.912806
-1.0,10,10.9343
-5.0,10,10.955656
-7.0,10,10.977064
-5.0,10,10.998429
-1.0,10,11.020192
-8.0,10,11.041814
-4.0,10,11.06321
-2.5,10,11.084684
4.0,10,11.106002
0.5,10,11.127625
-4.0,10,11.150277
0.5,10,11.179628
-5.0,10,14.068509
-2.0,10,14.089682
-7.0,10,14.110728
1.0,10,14.132542
-2.0,10,14.154161
-2.5,10,14.174944
-11.0,10,14.19587
-2.0,10,14.216861
1.0,10,14.238381
1.0,10,14.259336
-8.0,10,14.280986
2.0,10,14.302499
2.0,10,14.323428
2.0,10,14.344282
-4.0,10,14.365242
-1.0,10,14.394057
-2.5,10,14.422067
0.5,10,14.443862
7.0,10,14.466152
2.0,10,14.487504
-8.0,10,14.509039
-5.0,10,14.530392
-2.5,10,14.552499
1.0,10,14.574306
-2.5,10,14.596039
-1.0,10,14.617982
-4.0,10,14.639723
-2.0,10,14.66134
-8.0,10,14.684346
-5.0,10,14.706111
-2.5,10,14.727822
-2.5,10,14.750351
-2.5,10,14.771551
-5.0,10,14.79329
2.0,10,14.814992
-2.5,10,14.836453
-1.0,10,14.857704
-5.0,10,14.879029
-5.5,10,14.900024
1.0,10,14.921084
0.5,10,14.942202
4.0,10,14.963644
4.0,10,14.985267
-1.0,10,15.006246
-11.0,10,15.027322
-5.0,10,15.048321
-5.5,10,15.069468
-5.0,10,15.090671
1.0,10,15.111825
7.0,10,15.13388
-11.0,10,15.155456
-2.0,10,15.177526
2.0,10,15.199445
-1.0,10,15.221448
3.5,10,15.242877
-14.0,10,15.26429
-2.0,10,15.28533
-4.0,10,15.306643
2.0,10,15.328075
1.0,10,15.349895
0.5,10,15.371276
-7.0,10,15.392868
-1.0,10,15.414303
-2.0,10,15.436222
1.0,10,15.457523
-4.0,10,15.479373
-5.0,10,15.501059
-1.0,10,15.522259
-1.0,10,15.543259
4.0,10,15.564949
-1.0,10,15.58631
-1.0,10,15.606611
-1.0,10,15.628109
-4.0,10,15.650395
-8.0,10,15.672034
-5.0,10,15.694095
-4.0,10,15.715905
-1.0,10,15.738481
-8.5,10,15.761197
-2.5,10,15.782688
-2.0,10,15.804227
-14.0,10,15.825731
-5.0,10,15.847866
-1.0,10,15.869381
-8.0,10,15.89079
0.5,10,15.912034
-4.0,10,15.934897
-5.0,10,15.95654
0.5,10,15.978656
-2.0,10,16.000091
1.0,10,16.021499
-4.0,10,16.04316
1.0,10,16.064874
-5.5,10,16.086305
-5.0,10,16.1079
-5.0,10,16.13024
-11.0,10,16.151752
-5.0,10,16.173608
-8.0,10,16.195094
1.0,10,16.217015
-8.0,10,16.238794
-8.0,10,16.260585
-2.0,10,16.281825
-5.0,10,16.303349
-2.5,10,16.324616
4.0,10,16.346115
-5.5,10,16.367373
-2.5,10,16.389338
-5.5,10,16.410613
-2.5,10,16.431885
-5.5,10,16.453084
-2.5,10,16.474225
-4.0,10,16.495751
-2.0,10,16.517321
0.5,10,16.538292
-4.0,10,16.559211
-11.0,10,16.580749
-2.5,10,16.602071
1.0,10,16.623329
1.0,10,16.644674
-5.0,10,16.665674
-1.0,10,16.686819
0.5,10,16.707415
0.5,10,16.72912
1.0,10,16.750631
-2.0,10,16.772048
-11.0,10,16.792628
-5.0,10,16.812558
-1.0,10,16.832645
0.5,10,16.852484
-2.0,10,16.87252
-2.5,10,16.892993
-2.5,10,16.913062
-4.0,10,16.933069
0.5,10,16.952901
-2.5,10,16.973403
-2.0,10,16.993643
1.0,10,17.013818
0.5,10,17.033828
-2.5,10,17.053912
-2.0,10,17.07374
-2.5,10,17.093681
2.0,10,17.11404
1.0,10,17.134552
-5.0,10,17.154714
1.0,10,17.174503
4.0,10,17.194401
1.0,10,17.214501
-2.5,10,17.23504
-1.0,10,17.255063
0.5,10,17.27566
0.5,10,17.295881
4.0,10,17.315989
-11.0,10,17.336039
-4.0,10,17.356336
-5.0,10,17.376571
-2.5,10,17.397046
-2.0,10,17.417404
