#{"t_start": 1746033477.47227, "env_id": "None"}
r,l,t
0.5,10,6.929668
-4.0,10,6.954886
-2.0,10,6.975888
-5.0,10,6.996784
-8.0,10,7.017589
2.0,10,7.03854
-14.0,10,7.059567
-2.0,10,7.080508
-8.0,10,7.101439
-4.0,10,7.122264
-2.5,10,7.143272
-1.0,10,7.164629
-2.5,10,7.185488
-17.0,10,7.206258
-8.0,10,7.227096
-4.0,10,7.24782
-4.0,10,7.268651
-8.0,10,7.289677
1.0,10,7.310806
4.0,10,7.331927
-5.5,10,7.353582
-5.5,10,7.375798
-8.0,10,7.397054
-5.0,10,7.419246
-1.0,10,7.441103
-2.0,10,7.462705
-2.5,10,7.483447
-5.5,10,7.505035
-8.0,10,7.526511
0.5,10,7.548008
-5.5,10,7.570089
-8.0,10,7.59186
-2.0,10,7.613381
-5.0,10,7.635565
-2.0,10,7.657576
-2.0,10,7.679123
1.0,10,7.700827
-2.5,10,7.721883
-1.0,10,7.744023
-8.0,10,7.766242
1.0,10,7.788199
-1.0,10,7.810014
-8.0,10,7.832595
-5.5,10,7.854507
-2.0,10,7.876382
-1.0,10,7.898146
-5.0,10,7.920232
2.0,10,7.942786
-1.0,10,7.964694
-11.0,10,7.986283
-8.0,10,8.007399
-8.0,10,8.028129
1.0,10,8.04923
0.5,10,8.070686
-2.5,10,8.091938
-5.0,10,8.112955
0.5,10,8.13457
-1.0,10,8.156491
-2.0,10,8.177893
-2.0,10,8.198925
-8.0,10,8.220252
-5.0,10,8.242547
-8.0,10,8.264161
-14.0,10,8.285516
-4.0,10,8.307466
4.0,10,8.329252
-17.0,10,8.350673
-2.5,10,8.371859
-5.5,10,8.393056
-1.0,10,8.414943
-2.5,10,8.436631
-2.5,10,8.458734
4.0,10,8.481044
-2.5,10,8.502213
-8.0,10,8.524659
-14.0,10,8.546635
-7.0,10,8.568299
1.0,10,8.589623
-14.0,10,8.611367
-4.0,10,8.632204
-2.5,10,8.653485
-4.0,10,8.674565
-4.0,10,8.696242
-5.0,10,8.717778
-4.0,10,8.739406
-2.5,10,8.761782
-7.0,10,8.783549
-1.0,10,8.805154
-2.0,10,8.826934
2.0,10,8.848818
-4.0,10,8.871111
-5.0,10,8.893159
-2.5,10,8.914853
4.0,10,8.936561
0.5,10,8.958642
-4.0,10,8.980514
-5.0,10,9.002269
-11.0,10,9.023811
-5.0,10,9.046182
-2.0,10,9.067478
-2.0,10,9.088874
-5.0,10,9.110444
1.0,10,9.132004
-2.0,10,9.153708
-11.0,10,9.175249
0.5,10,9.19648
-1.0,10,9.2179
1.0,10,9.239325
-1.0,10,9.261191
0.5,10,9.283368
-1.0,10,9.31243
-2.5,10,9.332738
-1.0,10,9.352895
-2.0,10,9.373276
-7.0,10,9.393644
-1.0,10,9.414449
-1.0,10,9.435772
-7.0,10,9.45856
-7.0,10,9.479852
-2.5,10,9.501523
-5.0,10,9.522536
-1.0,10,9.543561
-5.0,10,9.565463
-2.5,10,9.587099
-11.0,10,9.609152
-5.5,10,9.630918
-2.0,10,9.652565
-1.0,10,9.674577
-1.0,10,9.696195
-8.0,10,9.718077
-1.0,10,9.739541
-2.0,10,9.762033
-5.0,10,9.78912
1.0,10,9.815447
-1.0,10,9.836669
-1.0,10,9.857896
-4.0,10,9.879228
1.0,10,9.900588
-8.5,10,9.922125
-1.0,10,9.943801
-1.0,10,9.965144
-2.0,10,9.988027
-2.0,10,10.025728
-5.0,10,10.057811
-5.0,10,10.085496
-5.5,10,10.106167
-5.0,10,10.127085
0.5,10,10.148283
-4.0,10,10.169267
-8.0,10,10.190612
-5.0,10,10.21215
1.0,10,10.23356
-2.5,10,10.254898
1.0,10,10.276744
-5.0,10,10.29792
-2.5,10,10.320029
-11.0,10,10.341906
-2.0,10,10.363417
-2.0,10,10.385025
1.0,10,10.406318
-5.0,10,10.42857
-4.0,10,10.450536
-4.0,10,10.472929
-2.5,10,10.49451
-8.0,10,10.515523
1.0,10,10.536907
-2.5,10,10.558186
-11.0,10,10.579943
-11.0,10,10.601513
-4.0,10,10.622661
-2.5,10,10.643524
-2.5,10,10.664575
-7.0,10,10.685674
-5.0,10,10.706829
-14.0,10,10.727942
-5.5,10,10.749203
-5.0,10,10.770598
-5.5,10,10.791603
-2.5,10,10.813088
-5.0,10,10.834399
-2.5,10,10.855398
-11.0,10,10.876583
-11.0,10,10.897552
-5.5,10,10.918664
-2.5,10,10.940239
-8.0,10,10.961866
0.5,10,10.983239
-5.0,10,11.004208
-1.0,10,11.025377
0.5,10,11.046503
-7.0,10,11.067845
0.5,10,11.089274
-2.5,10,11.110746
-5.0,10,11.132103
-2.0,10,11.15354
-8.0,10,11.174913
-5.0,10,11.19666
-2.5,10,11.218284
-11.0,10,11.23966
4.0,10,11.261155
-7.0,10,11.282454
