#{"t_start": 1746033477.485489, "env_id": "None"}
r,l,t
-5.0,10,6.916416
-5.5,10,6.941647
-2.5,10,6.962619
-8.0,10,6.983515
-2.0,10,7.004297
0.5,10,7.025273
-8.0,10,7.046297
-8.0,10,7.067235
-7.0,10,7.088176
-2.5,10,7.108975
4.0,10,7.130039
-5.0,10,7.151357
-5.0,10,7.172212
-2.0,10,7.193002
-5.0,10,7.213831
-2.0,10,7.234542
-2.5,10,7.255399
1.0,10,7.276407
1.0,10,7.297594
-4.0,10,7.318779
0.5,10,7.340405
-2.0,10,7.362552
-4.0,10,7.383804
4.0,10,7.406057
-5.0,10,7.428033
1.0,10,7.449531
-11.0,10,7.470232
0.5,10,7.491818
-2.0,10,7.513318
1.0,10,7.534826
-8.0,10,7.556906
-5.0,10,7.578668
-5.5,10,7.600195
-4.0,10,7.622386
-5.0,10,7.644381
-5.0,10,7.665895
-5.0,10,7.687699
0.5,10,7.708702
-5.0,10,7.730838
-2.5,10,7.75307
-4.0,10,7.775011
-8.0,10,7.796829
-5.5,10,7.819411
-4.0,10,7.841331
0.5,10,7.863232
-1.0,10,7.88499
-1.0,10,7.90704
-5.0,10,7.929594
-1.0,10,7.951505
-4.0,10,7.97311
-11.0,10,7.994215
-11.0,10,8.01491
0.5,10,8.036043
-11.0,10,8.057449
-2.5,10,8.078743
-2.0,10,8.099759
-1.0,10,8.121394
-5.0,10,8.143292
-2.0,10,8.164714
-5.5,10,8.185741
-1.0,10,8.207051
-1.0,10,8.229337
-11.0,10,8.250968
-2.0,10,8.272315
2.0,10,8.294301
-2.5,10,8.316112
-2.0,10,8.337505
-8.0,10,8.358659
-4.0,10,8.379889
-4.0,10,8.40175
-2.5,10,8.423482
-4.0,10,8.445564
0.5,10,8.467872
-2.0,10,8.489033
-11.0,10,8.511549
-2.0,10,8.533434
-4.0,10,8.555157
-5.0,10,8.576442
-4.0,10,8.59817
-5.0,10,8.61897
-2.0,10,8.640318
-4.0,10,8.661316
-8.0,10,8.683147
-5.0,10,8.704662
-5.5,10,8.726292
-8.0,10,8.748582
-1.0,10,8.77036
-1.0,10,8.791957
0.5,10,8.813733
2.0,10,8.8356
0.5,10,8.857917
-5.5,10,8.879912
0.5,10,8.901637
-2.5,10,8.92338
4.0,10,8.945461
-1.0,10,8.96731
-17.0,10,8.989076
-4.0,10,9.010613
4.0,10,9.032995
-2.0,10,9.054194
1.0,10,9.075655
-5.0,10,9.097253
-2.5,10,9.118851
-8.0,10,9.140518
-8.0,10,9.162106
-5.0,10,9.183307
-4.0,10,9.204707
-4.0,10,9.226166
-5.0,10,9.247931
-8.0,10,9.270133
-7.0,10,9.299324
-2.5,10,9.319546
4.0,10,9.339699
-5.0,10,9.360035
-4.0,10,9.380548
-2.0,10,9.401268
-5.5,10,9.422583
-14.0,10,9.445372
-5.0,10,9.466658
-2.0,10,9.488343
0.5,10,9.50932
-7.0,10,9.530312
-8.0,10,9.552259
-1.0,10,9.57388
0.5,10,9.596042
-5.5,10,9.617727
-2.0,10,9.639367
-5.0,10,9.661407
-5.0,10,9.683037
-2.0,10,9.704826
0.5,10,9.726348
-8.0,10,9.74882
-4.0,10,9.77592
2.0,10,9.802279
-5.5,10,9.823466
-4.0,10,9.844648
-17.0,10,9.866029
-2.0,10,9.887369
-5.0,10,9.908933
-5.5,10,9.930608
-5.5,10,9.951953
0.5,10,9.974876
-4.0,10,10.012526
0.5,10,10.044612
-1.0,10,10.07231
-1.0,10,10.092947
-1.0,10,10.113909
-14.0,10,10.135106
-5.0,10,10.156013
-7.0,10,10.17732
-4.0,10,10.198866
-4.0,10,10.220275
-1.0,10,10.24164
2.0,10,10.263463
-5.5,10,10.284645
-7.0,10,10.306856
-2.5,10,10.328642
-5.0,10,10.350184
-14.0,10,10.371826
-8.0,10,10.393069
-1.0,10,10.415283
0.5,10,10.437282
