#{"t_start": 1746049844.944246, "env_id": "None"}
r,l,t
-1.0,1,6.796308
1.0,3,6.828979
1.0,1,6.83856
1.0,1,6.849871
1.0,2,6.875427
-1.0,2,6.900661
1.0,1,6.917106
1.0,1,6.928634
1.0,1,6.939372
1.0,1,6.950227
-1.0,1,6.95981
1.0,2,6.979323
-1.0,1,6.987432
1.0,1,6.998368
1.0,1,7.011643
1.0,1,7.026332
-1.0,1,7.038506
-1.0,1,7.050553
1.0,2,7.070911
-1.0,1,7.085521
1.0,2,7.107219
-1.0,1,7.118641
1.0,1,7.130423
1.0,2,7.153566
1.0,2,7.178324
1.0,1,7.190204
1.0,3,7.226421
-1.0,1,7.237902
1.0,1,7.249564
1.0,2,7.279447
1.0,1,7.294862
1.0,1,7.307039
-1.0,3,7.340123
-1.0,1,7.351584
-1.0,1,7.365197
-1.0,2,7.390274
1.0,1,7.402489
-1.0,3,7.446359
-1.0,1,7.457628
-1.0,1,7.469612
-1.0,1,7.48312
-1.0,1,7.493308
1.0,1,7.50618
1.0,1,7.518485
-1.0,5,7.571896
1.0,4,7.605759
1.0,1,7.619151
-1.0,3,7.66022
-1.0,1,7.671572
1.0,1,7.683943
1.0,1,7.695858
1.0,1,7.708054
-1.0,6,7.769293
1.0,1,7.782982
-1.0,1,7.796
-1.0,6,7.869285
-1.0,2,7.899338
-1.0,1,7.912251
1.0,1,7.925064
-1.0,2,7.951432
-1.0,1,7.962887
1.0,2,7.987707
1.0,3,8.025948
1.0,1,8.03896
1.0,1,8.051311
1.0,1,8.062698
1.0,1,8.075425
-1.0,1,8.094793
-1.0,2,8.13371
-1.0,1,8.143005
-1.0,1,8.152163
-1.0,1,8.163366
1.0,1,8.174711
1.0,1,8.184515
1.0,1,8.194098
-1.0,3,8.224557
1.0,1,8.235367
1.0,1,8.247181
-1.0,1,8.257061
-1.0,1,8.267057
-1.0,1,8.276206
1.0,1,8.285815
-1.0,1,8.295994
1.0,2,8.318321
1.0,1,8.330205
-1.0,1,8.341695
-1.0,1,8.353323
1.0,1,8.362823
1.0,1,8.372279
-1.0,1,8.383991
1.0,2,8.404192
1.0,2,8.424323
1.0,1,8.432765
1.0,1,8.443712
1.0,1,8.45364
1.0,2,8.474654
1.0,1,8.485882
-1.0,1,8.496869
1.0,1,8.507999
1.0,1,8.523249
-1.0,1,8.535699
-1.0,1,8.546884
-1.0,2,8.560544
1.0,1,8.572158
1.0,1,8.582529
-1.0,2,8.602427
1.0,2,8.62389
1.0,1,8.633826
1.0,1,8.643622
1.0,1,8.653778
-1.0,2,8.674575
-1.0,1,8.684889
-1.0,2,8.703503
-1.0,1,8.712916
1.0,4,8.753475
1.0,1,8.762352
-1.0,2,8.782343
1.0,1,8.793434
-1.0,2,8.817886
-1.0,1,8.829829
1.0,2,8.850966
1.0,2,8.870733
-1.0,1,8.880293
1.0,2,8.898897
-1.0,1,8.908518
-1.0,2,8.929876
1.0,1,8.940766
-1.0,1,8.950123
1.0,1,8.960443
1.0,4,9.001908
1.0,1,9.011889
1.0,1,9.022458
1.0,1,9.033339
1.0,2,9.053471
-1.0,1,9.064833
1.0,1,9.076528
1.0,1,9.088806
1.0,1,9.099649
-1.0,2,9.120996
1.0,2,9.142614
1.0,1,9.152934
1.0,2,9.173529
-1.0,2,9.194024
-1.0,1,9.204195
-1.0,1,9.21488
1.0,1,9.225133
1.0,2,9.245217
1.0,2,9.265224
1.0,3,9.293232
1.0,1,9.303746
-1.0,3,9.333117
-1.0,2,9.346325
1.0,1,9.356124
1.0,1,9.366823
-1.0,1,9.377529
1.0,1,9.386518
-1.0,1,9.397905
1.0,1,9.407376
1.0,1,9.418442
1.0,1,9.429556
-1.0,4,9.467586
-1.0,1,9.479001
-1.0,1,9.489297
-1.0,2,9.509225
-1.0,1,9.519038
1.0,1,9.529898
1.0,1,9.539167
-1.0,1,9.549336
1.0,3,9.579115
1.0,1,9.588297
-1.0,1,9.597952
-1.0,1,9.608841
-1.0,1,9.620283
-1.0,2,9.638433
-1.0,1,9.649447
1.0,1,9.659916
1.0,1,9.669887
1.0,1,9.67906
-1.0,3,9.709559
-1.0,1,9.719749
1.0,1,9.728749
1.0,1,9.740304
1.0,1,9.751145
-1.0,1,9.760997
1.0,1,9.771884
-1.0,1,9.782061
-1.0,1,9.793291
-1.0,1,9.805395
-1.0,2,9.843271
-1.0,1,9.858884
-1.0,1,9.869796
-1.0,1,9.880849
1.0,1,9.890347
-1.0,1,9.900796
-1.0,3,9.92256
-1.0,1,9.932158
-1.0,2,9.953037
-1.0,1,9.964315
1.0,1,9.974115
-1.0,1,9.986771
1.0,1,9.997938
-1.0,1,10.007524
-1.0,1,10.01849
1.0,1,10.027891
-1.0,1,10.039011
1.0,1,10.049709
-1.0,1,10.060159
-1.0,1,10.070003
-1.0,2,10.083015
-1.0,2,10.105803
-1.0,2,10.12702
1.0,2,10.150183
-1.0,1,10.161903
-1.0,1,10.173089
1.0,1,10.184787
-1.0,1,10.195172
-1.0,1,10.205862
-1.0,2,10.231252
-1.0,1,10.242566
-1.0,1,10.252887
-1.0,2,10.275262
1.0,2,10.294556
1.0,1,10.304394
-1.0,2,10.325305
-1.0,2,10.345433
-1.0,2,10.365506
1.0,4,10.405737
-1.0,1,10.416104
1.0,1,10.427084
-1.0,1,10.438862
-1.0,2,10.462969
-1.0,1,10.475032
1.0,1,10.484485
-1.0,3,10.514972
1.0,2,10.536997
-1.0,1,10.547256
-1.0,2,10.566579
-1.0,1,10.575975
1.0,1,10.586209
-1.0,1,10.596704
-1.0,1,10.607543
-1.0,1,10.618648
1.0,2,10.639221
-1.0,4,10.680573
-1.0,1,10.690234
1.0,2,10.708925
-1.0,1,10.720051
1.0,1,10.731076
-1.0,3,10.76128
1.0,1,10.772684
1.0,1,10.783322
-1.0,1,10.793195
-1.0,1,10.805064
-1.0,1,10.818511
-1.0,1,10.829072
1.0,1,10.841033
1.0,1,10.852884
-1.0,1,10.863782
-1.0,1,10.874769
-1.0,2,10.895601
1.0,1,10.905937
-1.0,1,10.916853
1.0,1,10.926322
1.0,1,10.936331
1.0,1,10.946882
-1.0,1,10.955887
1.0,1,10.96627
-1.0,4,10.999244
-1.0,1,11.009958
1.0,1,11.017911
1.0,1,11.029151
1.0,1,11.038958
1.0,1,11.049701
-1.0,1,11.059759
-1.0,1,11.07205
1.0,1,11.084515
-1.0,1,11.097886
1.0,1,11.109493
1.0,1,11.121214
-1.0,2,11.141678
1.0,4,11.182425
-1.0,2,11.204215
-1.0,1,11.214769
-1.0,2,11.236436
-1.0,3,11.270331
-1.0,2,11.290206
-1.0,1,11.301244
-1.0,3,11.334536
1.0,1,11.346083
1.0,2,11.368993
-1.0,1,11.379025
