#{"t_start": 1746049844.5105972, "env_id": "None"}
r,l,t
-1.0,1,7.229929
1.0,1,7.241266
1.0,1,7.252436
-1.0,1,7.262228
-1.0,1,7.272231
1.0,1,7.283555
1.0,1,7.294673
-1.0,1,7.308579
-1.0,2,7.33365
-1.0,2,7.361747
-1.0,2,7.383152
1.0,1,7.393275
1.0,1,7.402825
-1.0,2,7.420916
-1.0,1,7.431446
1.0,1,7.44426
1.0,1,7.458925
-1.0,1,7.471542
-1.0,2,7.493012
1.0,2,7.51848
1.0,1,7.530555
-1.0,1,7.540521
-1.0,1,7.551822
-1.0,2,7.574905
-1.0,1,7.58624
1.0,2,7.611133
-1.0,1,7.623354
1.0,2,7.647831
-1.0,1,7.659913
1.0,2,7.683259
1.0,1,7.699537
-1.0,2,7.72814
1.0,1,7.740399
1.0,1,7.751812
1.0,4,7.798011
1.0,1,7.810382
1.0,1,7.82327
-1.0,3,7.864808
-1.0,1,7.879094
-1.0,1,7.890496
-1.0,1,7.903046
1.0,1,7.91567
-1.0,6,7.978577
1.0,3,8.016033
-1.0,1,8.026273
1.0,2,8.038687
-1.0,1,8.051807
-1.0,1,8.067271
-1.0,1,8.081437
1.0,1,8.093377
-1.0,1,8.104919
-1.0,1,8.116701
1.0,1,8.12966
-1.0,1,8.141728
-1.0,6,8.202917
-1.0,3,8.243302
1.0,1,8.255277
-1.0,1,8.267387
-1.0,1,8.279814
-1.0,1,8.290163
1.0,1,8.303142
-1.0,1,8.319319
-1.0,1,8.332231
1.0,1,8.345835
1.0,3,8.38511
1.0,1,8.396503
1.0,1,8.409678
-1.0,1,8.421189
1.0,1,8.433374
-1.0,2,8.459588
1.0,1,8.471937
1.0,1,8.484958
-1.0,2,8.509513
-1.0,1,8.528353
1.0,4,8.586681
-1.0,1,8.597677
-1.0,4,8.639119
1.0,1,8.647797
-1.0,2,8.669095
-1.0,2,8.690916
1.0,1,8.70054
1.0,1,8.710219
-1.0,2,8.729802
1.0,3,8.763953
1.0,1,8.776224
-1.0,3,8.806495
-1.0,2,8.827771
1.0,1,8.838356
-1.0,1,8.848654
1.0,2,8.867198
1.0,1,8.877994
1.0,1,8.887213
-1.0,1,8.898699
-1.0,1,8.90869
1.0,1,8.919879
1.0,1,8.930979
-1.0,1,8.941599
-1.0,1,8.957324
1.0,2,8.980726
1.0,2,8.994166
-1.0,1,9.005769
-1.0,1,9.016147
1.0,2,9.036063
-1.0,1,9.046288
1.0,1,9.057395
-1.0,1,9.06745
-1.0,1,9.077242
1.0,2,9.097439
-1.0,2,9.118619
-1.0,2,9.137177
1.0,1,9.14655
-1.0,2,9.168507
-1.0,3,9.196099
1.0,1,9.205167
1.0,1,9.215901
1.0,1,9.227072
-1.0,1,9.238841
-1.0,2,9.26388
1.0,1,9.274151
-1.0,1,9.284507
-1.0,2,9.304368
1.0,3,9.332568
-1.0,1,9.34165
1.0,1,9.352992
-1.0,1,9.363426
1.0,2,9.384123
1.0,1,9.39405
1.0,1,9.405502
1.0,1,9.414994
-1.0,1,9.425613
1.0,3,9.456237
-1.0,1,9.466991
-1.0,1,9.476828
1.0,1,9.487035
-1.0,1,9.499308
1.0,2,9.522635
-1.0,2,9.544406
1.0,1,9.554422
1.0,1,9.565807
-1.0,1,9.576068
1.0,1,9.586556
-1.0,2,9.607157
1.0,1,9.61801
-1.0,2,9.637817
-1.0,4,9.678839
-1.0,1,9.688642
1.0,1,9.698687
1.0,1,9.709863
1.0,2,9.726862
1.0,1,9.737395
1.0,3,9.766727
-1.0,3,9.789817
-1.0,1,9.800462
-1.0,1,9.811176
-1.0,3,9.841686
-1.0,1,9.852079
1.0,1,9.863805
1.0,4,9.901182
1.0,1,9.912397
-1.0,3,9.942859
-1.0,1,9.953214
1.0,2,9.972975
-1.0,1,9.983866
-1.0,1,9.994056
-1.0,5,10.042989
-1.0,2,10.063358
1.0,2,10.083173
-1.0,1,10.093565
-1.0,2,10.113249
1.0,1,10.122795
1.0,1,10.13264
1.0,1,10.143385
1.0,1,10.153267
-1.0,1,10.162794
-1.0,2,10.18531
1.0,1,10.195164
1.0,1,10.206045
1.0,1,10.21571
1.0,1,10.227532
-1.0,1,10.239555
1.0,2,10.276731
1.0,1,10.293046
-1.0,1,10.303427
-1.0,4,10.344344
-1.0,2,10.356163
1.0,2,10.377136
1.0,1,10.386564
1.0,2,10.408137
1.0,1,10.420882
1.0,4,10.461772
-1.0,1,10.47265
-1.0,1,10.483458
1.0,4,10.51737
-1.0,1,10.5287
1.0,1,10.539429
-1.0,1,10.549275
1.0,3,10.583968
1.0,1,10.59584
-1.0,1,10.606745
1.0,1,10.618435
1.0,1,10.628817
1.0,1,10.639509
1.0,1,10.652128
1.0,1,10.663865
-1.0,1,10.676216
1.0,1,10.687467
-1.0,1,10.699067
1.0,1,10.708708
1.0,1,10.718688
1.0,2,10.738223
-1.0,1,10.748942
1.0,1,10.75889
1.0,4,10.799757
1.0,1,10.810774
-1.0,2,10.828607
-1.0,1,10.839232
1.0,1,10.850087
1.0,3,10.884737
-1.0,1,10.896293
1.0,3,10.928298
-1.0,2,10.94856
1.0,1,10.959635
-1.0,1,10.970515
-1.0,1,10.981447
-1.0,1,10.991792
1.0,1,11.000152
-1.0,1,11.009606
-1.0,2,11.030579
-1.0,1,11.041194
1.0,3,11.072884
1.0,2,11.092456
1.0,1,11.103092
-1.0,1,11.114025
-1.0,1,11.124536
-1.0,3,11.153888
1.0,3,11.185106
-1.0,1,11.194755
-1.0,1,11.206217
1.0,2,11.227486
1.0,3,11.262939
-1.0,1,11.274686
1.0,1,11.286511
1.0,1,11.297419
-1.0,1,11.308281
1.0,1,11.31912
1.0,2,11.339655
-1.0,3,11.370104
1.0,1,11.380092
-1.0,2,11.40004
-1.0,1,11.410638
-1.0,3,11.433611
1.0,2,11.452009
1.0,1,11.462808
1.0,1,11.472585
-1.0,2,11.493402
1.0,1,11.505708
-1.0,1,11.518966
1.0,1,11.531806
1.0,1,11.543257
-1.0,1,11.554837
1.0,1,11.565044
-1.0,1,11.575132
-1.0,1,11.585853
-1.0,1,11.596987
-1.0,3,11.627271
-1.0,1,11.637735
-1.0,1,11.648384
-1.0,1,11.658947
-1.0,3,11.693279
1.0,1,11.70355
1.0,2,11.723983
1.0,2,11.74596
-1.0,2,11.7681
-1.0,2,11.791805
-1.0,2,11.812778
-1.0,2,11.832764
-1.0,1,11.84345
-1.0,2,11.865434
-1.0,3,11.895723
-1.0,1,11.906105
1.0,1,11.915814
-1.0,1,11.928553
-1.0,2,11.955756
1.0,1,11.968621
1.0,1,11.981122
1.0,1,11.992709
-1.0,3,12.022687
-1.0,1,12.032672
-1.0,1,12.043702
1.0,1,12.053992
1.0,5,12.098278
1.0,1,12.109257
1.0,1,12.121148
1.0,2,12.142924
-1.0,1,12.154232
-1.0,2,12.17567
-1.0,3,12.214863
1.0,1,12.226483
-1.0,1,12.24128
-1.0,1,12.259723
1.0,2,12.294003
-1.0,1,12.305713
-1.0,2,12.328189
-1.0,1,12.339591
1.0,1,12.351554
1.0,1,12.362006
-1.0,4,12.408113
1.0,3,12.443861
1.0,1,12.457262
1.0,1,12.471744
1.0,1,12.485774
-1.0,2,12.50924
1.0,2,12.542349
1.0,2,12.581969
-1.0,2,12.612234
1.0,1,12.630523
-1.0,1,12.642833
1.0,1,12.653963
1.0,1,12.665323
1.0,3,12.70236
1.0,1,12.713305
-1.0,2,12.733827
-1.0,2,12.756011
-1.0,1,12.766185
-1.0,4,12.805517
-1.0,1,12.814997
-1.0,2,12.835532
1.0,1,12.844723
-1.0,1,12.857667
-1.0,1,12.869384
-1.0,1,12.880009
1.0,4,12.920966
-1.0,1,12.930582
-1.0,4,12.972303
1.0,1,12.982681
1.0,1,12.993308
1.0,1,13.005205
1.0,1,13.016249
1.0,1,13.026493
1.0,2,13.045829
-1.0,1,13.055835
1.0,1,13.066387
1.0,2,13.08559
-1.0,1,13.095203
-1.0,1,13.105016
1.0,1,13.114137
-1.0,3,13.143706
-1.0,1,13.153766
1.0,1,13.162818
1.0,1,13.170785
-1.0,1,13.180653
1.0,1,13.1919
-1.0,1,13.203038
1.0,1,13.213785
1.0,2,13.234243
-1.0,2,13.250282
-1.0,1,13.262642
-1.0,3,13.294266
-1.0,2,13.313848
1.0,1,13.323412
1.0,1,13.33382
-1.0,1,13.34413
1.0,1,13.355048
-1.0,1,13.36546
-1.0,3,13.397131
-1.0,1,13.40761
-1.0,3,13.429785
1.0,3,13.460621
-1.0,2,13.481938
-1.0,1,13.49174
1.0,1,13.503127
1.0,1,13.515999
-1.0,1,13.528487
-1.0,1,13.539163
1.0,2,13.558892
1.0,2,13.579432
1.0,3,13.610209
-1.0,3,13.639397
1.0,3,13.671002
1.0,1,13.681356
-1.0,1,13.691826
1.0,1,13.702453
1.0,2,13.723916
1.0,2,13.743101
1.0,1,13.754277
-1.0,3,13.782799
-1.0,1,13.793003
-1.0,1,13.803893
-1.0,2,13.823469
1.0,1,13.83338
1.0,1,13.84383
1.0,5,13.891609
1.0,1,13.903185
1.0,1,13.91388
-1.0,1,13.924629
-1.0,2,13.945063
1.0,1,13.954635
1.0,3,13.985022
1.0,1,13.994458
-1.0,1,14.004395
1.0,1,14.014854
1.0,1,14.025059
-1.0,1,14.035087
1.0,4,14.074317
1.0,1,14.08401
-1.0,1,14.09473
-1.0,2,14.107234
1.0,3,14.136387
1.0,3,14.165775
-1.0,2,14.183728
1.0,2,14.202299
1.0,1,14.212404
1.0,1,14.220993
-1.0,1,14.231734
-1.0,2,14.254918
-1.0,1,14.265052
-1.0,1,14.275896
-1.0,2,14.297006
1.0,1,14.306656
1.0,1,14.317912
-1.0,1,14.327059
-1.0,1,14.33728
-1.0,4,14.377044
-1.0,2,14.398483
-1.0,1,14.407837
-1.0,1,14.418437
-1.0,1,14.429709
-1.0,1,14.439281
1.0,1,14.448858
-1.0,4,14.486823
-1.0,1,14.498607
1.0,2,14.523924
-1.0,1,14.5346
-1.0,1,14.546673
-1.0,1,14.557327
-1.0,1,14.566421
-1.0,1,14.57592
1.0,1,14.584658
1.0,1,14.595259
-1.0,3,14.624135
-1.0,1,14.634051
-1.0,1,14.643954
1.0,1,14.655102
1.0,1,14.665783
1.0,2,14.686045
1.0,1,14.696818
-1.0,1,14.705767
1.0,1,14.714857
1.0,1,14.725188
1.0,2,14.747046
-1.0,1,14.757397
1.0,2,14.778047
1.0,2,14.796992
1.0,1,14.807629
-1.0,1,14.818656
1.0,3,14.8479
-1.0,3,14.876703
-1.0,1,14.887253
-1.0,1,14.896556
-1.0,1,14.906682
1.0,1,14.918305
1.0,2,14.939319
1.0,1,14.949037
-1.0,1,14.958419
1.0,1,14.969388
1.0,1,14.979715
1.0,1,14.990112
1.0,1,15.000481
-1.0,1,15.011048
1.0,2,15.033519
-1.0,2,15.05676
1.0,1,15.072526
1.0,2,15.095899
1.0,2,15.117646
1.0,1,15.12893
-1.0,1,15.138898
1.0,1,15.147763
1.0,2,15.168429
-1.0,2,15.1885
-1.0,1,15.198234
-1.0,1,15.209626
-1.0,2,15.229827
-1.0,1,15.247911
1.0,2,15.278087
-1.0,3,15.304171
1.0,2,15.32559
1.0,1,15.336218
-1.0,1,15.345068
-1.0,1,15.355368
1.0,3,15.384046
1.0,1,15.394726
1.0,1,15.403949
-1.0,1,15.415153
-1.0,1,15.425872
1.0,1,15.436372
-1.0,2,15.456448
-1.0,1,15.467286
1.0,2,15.49255
-1.0,1,15.503032
1.0,2,15.527528
-1.0,1,15.53993
-1.0,1,15.549361
1.0,2,15.570804
1.0,1,15.58173
1.0,1,15.591749
1.0,1,15.603356
-1.0,3,15.632739
-1.0,1,15.643154
-1.0,1,15.652467
-1.0,1,15.662223
-1.0,1,15.67271
1.0,1,15.68275
-1.0,1,15.692425
1.0,1,15.702266
-1.0,1,15.710648
-1.0,1,15.722199
-1.0,1,15.733392
1.0,2,15.766153
-1.0,2,15.787995
1.0,1,15.798951
-1.0,1,15.810136
-1.0,1,15.820595
1.0,1,15.83057
-1.0,2,15.850014
-1.0,1,15.860618
-1.0,2,15.880299
-1.0,1,15.891493
-1.0,2,15.908478
1.0,1,15.919097
-1.0,2,15.942669
1.0,2,15.965042
1.0,2,15.98695
-1.0,1,15.997382
1.0,1,16.008309
-1.0,1,16.017245
-1.0,3,16.046884
1.0,1,16.056937
-1.0,1,16.068166
1.0,1,16.078835
1.0,1,16.088842
-1.0,2,16.101444
-1.0,1,16.11191
-1.0,2,16.131644
-1.0,1,16.142009
-1.0,1,16.151791
-1.0,1,16.162803
-1.0,2,16.182689
1.0,1,16.192926
1.0,1,16.201169
-1.0,4,16.244145
-1.0,1,16.255677
1.0,1,16.269657
-1.0,1,16.281571
-1.0,2,16.303403
1.0,3,16.331484
-1.0,1,16.342266
1.0,1,16.353154
1.0,3,16.383409
1.0,1,16.392942
-1.0,1,16.403929
1.0,1,16.413433
1.0,1,16.424991
-1.0,2,16.445317
-1.0,2,16.465057
-1.0,1,16.474417
-1.0,2,16.496196
1.0,3,16.530509
1.0,1,16.541157
1.0,1,16.552066
-1.0,1,16.56317
1.0,2,16.584589
1.0,1,16.594411
1.0,2,16.614613
1.0,1,16.624109
1.0,1,16.634771
1.0,1,16.645286
-1.0,1,16.658353
-1.0,3,16.69378
1.0,1,16.70459
-1.0,2,16.724804
1.0,1,16.73514
1.0,2,16.752133
1.0,1,16.762194
-1.0,3,16.794534
-1.0,1,16.804707
-1.0,1,16.815235
-1.0,3,16.845657
-1.0,1,16.856298
-1.0,3,16.88463
-1.0,1,16.894483
-1.0,2,16.914436
-1.0,1,16.924262
-1.0,1,16.933864
1.0,1,16.94411
1.0,1,16.954702
1.0,3,16.983994
1.0,1,16.994517
1.0,1,17.004566
1.0,1,17.014774
1.0,1,17.024931
1.0,1,17.035562
-1.0,1,17.045688
1.0,1,17.057171
-1.0,2,17.07596
1.0,2,17.096777
1.0,1,17.107009
-1.0,1,17.1157
-1.0,2,17.138995
-1.0,3,17.169969
-1.0,1,17.181225
-1.0,1,17.191547
-1.0,1,17.200912
1.0,2,17.221474
1.0,1,17.236703
-1.0,1,17.255466
1.0,1,17.272311
1.0,1,17.287238
-1.0,1,17.299782
1.0,3,17.330738
-1.0,2,17.348167
-1.0,1,17.357991
1.0,1,17.367526
1.0,2,17.388244
-1.0,3,17.416595
1.0,1,17.426207
1.0,1,17.437257
-1.0,1,17.45104
-1.0,1,17.464086
-1.0,1,17.476079
-1.0,1,17.486506
1.0,2,17.513233
-1.0,1,17.52526
1.0,1,17.537646
1.0,1,17.547015
1.0,1,17.558949
1.0,2,17.580121
-1.0,1,17.590831
-1.0,2,17.612223
1.0,1,17.622446
1.0,1,17.633067
1.0,1,17.645228
