#{"t_start": 1746049845.150762, "env_id": "None"}
r,l,t
1.0,5,6.632116
-1.0,1,6.643509
-1.0,1,6.65457
-1.0,2,6.680576
1.0,1,6.693586
1.0,2,6.721957
1.0,1,6.732478
1.0,1,6.742898
-1.0,2,6.763149
1.0,2,6.781861
1.0,1,6.791924
-1.0,1,6.804298
-1.0,1,6.818812
-1.0,1,6.832482
1.0,2,6.853331
-1.0,1,6.864227
1.0,2,6.890696
1.0,2,6.911819
-1.0,1,6.923319
1.0,2,6.94719
-1.0,1,6.959637
-1.0,3,6.9957
-1.0,1,7.00802
-1.0,1,7.019894
1.0,2,7.04322
1.0,1,7.059995
-1.0,1,7.072263
-1.0,1,7.0881
-1.0,1,7.100966
-1.0,2,7.122721
1.0,1,7.133085
1.0,1,7.145453
1.0,2,7.170941
1.0,3,7.209768
-1.0,1,7.225548
1.0,6,7.300217
-1.0,1,7.31279
-1.0,1,7.32449
1.0,2,7.338326
1.0,1,7.349777
1.0,5,7.399201
1.0,1,7.412407
1.0,1,7.428251
1.0,1,7.441439
1.0,1,7.453436
-1.0,1,7.465034
1.0,3,7.50168
-1.0,1,7.513682
1.0,1,7.525504
1.0,1,7.537156
1.0,2,7.551924
1.0,1,7.56263
1.0,1,7.576334
-1.0,1,7.58946
-1.0,3,7.627381
1.0,2,7.650434
1.0,1,7.662032
-1.0,1,7.680021
1.0,1,7.692747
1.0,2,7.718577
-1.0,1,7.73271
1.0,1,7.74508
-1.0,1,7.756345
1.0,1,7.769547
-1.0,1,7.780845
-1.0,1,7.792626
1.0,1,7.803867
1.0,2,7.832685
-1.0,2,7.856291
-1.0,1,7.868901
1.0,1,7.888182
1.0,1,7.910822
1.0,1,7.926962
1.0,2,7.946494
-1.0,2,7.96838
-1.0,2,7.987917
-1.0,2,8.008301
-1.0,2,8.028989
1.0,5,8.079539
1.0,1,8.089462
1.0,1,8.101103
1.0,1,8.11231
-1.0,1,8.123131
-1.0,1,8.135069
-1.0,1,8.147393
-1.0,2,8.166292
-1.0,2,8.187603
-1.0,4,8.227022
1.0,2,8.247903
-1.0,3,8.279865
-1.0,1,8.290821
-1.0,1,8.301434
1.0,1,8.317039
1.0,4,8.354103
1.0,1,8.365658
1.0,1,8.375997
-1.0,1,8.386306
1.0,1,8.395762
-1.0,1,8.406691
1.0,3,8.437404
-1.0,2,8.457256
1.0,1,8.467898
1.0,1,8.477776
-1.0,1,8.488492
1.0,2,8.506844
1.0,1,8.517319
1.0,2,8.53781
1.0,1,8.546788
-1.0,2,8.56513
