#{"t_start": 1746049851.126997, "env_id": "None"}
r,l,t
-1.0,1,77.4783
-1.0,1,77.480833
1.0,1,77.483123
1.0,1,77.485438
1.0,1,77.487801
-1.0,1,77.490073
1.0,1,77.492328
-1.0,1,77.494564
1.0,1,77.496855
-1.0,1,77.499136
1.0,1,77.501376
1.0,1,77.503704
1.0,1,77.505962
1.0,1,77.508232
-1.0,1,77.510495
1.0,1,77.51274
-1.0,1,77.514977
1.0,1,77.517247
-1.0,1,77.519524
-1.0,1,77.521843
1.0,1,77.524767
-1.0,1,77.527054
1.0,1,77.529302
1.0,1,77.53153
1.0,1,77.533789
-1.0,1,77.536029
-1.0,1,77.538348
1.0,1,77.540617
-1.0,1,77.542851
-1.0,1,77.545099
1.0,1,77.547464
-1.0,1,77.549713
1.0,1,77.55195
1.0,1,77.554156
1.0,1,77.556513
-1.0,1,77.558731
-1.0,1,77.560964
1.0,1,77.563194
-1.0,1,77.565464
-1.0,1,77.567707
-1.0,1,77.569969
1.0,1,77.572304
1.0,1,77.574556
1.0,1,77.576848
1.0,1,77.579115
1.0,1,77.581394
-1.0,1,77.583652
-1.0,1,77.585917
1.0,1,77.588222
-1.0,1,77.590487
1.0,1,153.635839
1.0,1,153.638469
-1.0,1,153.641025
-1.0,5,153.646498
-1.0,1,153.648747
-1.0,3,153.652248
1.0,1,153.654492
1.0,1,153.657005
1.0,1,153.659551
1.0,1,153.661906
1.0,1,153.664154
1.0,1,153.666407
1.0,1,153.668637
1.0,1,153.670885
-1.0,1,153.673209
1.0,1,153.67547
-1.0,1,153.677746
1.0,2,153.680602
1.0,1,153.682973
1.0,1,153.685261
1.0,1,153.687544
1.0,1,153.689891
-1.0,1,153.692147
1.0,1,153.694371
1.0,4,153.698664
1.0,1,153.700954
1.0,2,153.703841
-1.0,1,153.706194
1.0,1,153.708429
1.0,1,153.710631
1.0,1,153.71289
1.0,1,153.715162
-1.0,1,153.717393
-1.0,1,153.719645
1.0,1,153.721954
1.0,1,153.724224
1.0,2,153.727131
1.0,1,153.729385
1.0,1,153.7316
1.0,1,153.733846
1.0,1,153.736113
1.0,1,153.73843
1.0,1,153.740697
1.0,1,153.742988
1.0,1,153.745221
1.0,1,153.747493
-1.0,1,153.749756
1.0,1,153.752033
1.0,1,153.754353
1.0,2,153.757303
-0.5,10,229.450122
1.0,2,229.453134
1.0,1,229.455534
-1.0,1,229.457904
1.0,3,229.461411
1.0,4,229.465621
1.0,2,229.468809
-1.0,1,229.471074
1.0,1,229.473446
-1.0,3,229.477098
1.0,1,229.479337
-0.5,10,229.486931
1.0,1,229.489302
1.0,2,229.492179
-1.0,7,229.498143
-1.0,1,229.50039
1.0,1,229.502663
1.0,1,229.504956
1.0,9,229.512154
-1.0,1,229.514406
1.0,1,229.516893
1.0,5,229.521832
-1.0,1,229.524192
1.0,1,229.526505
-1.0,1,229.528797
-1.0,1,229.531034
1.0,1,229.533285
1.0,1,229.53555
1.0,1,229.537799
1.0,1,229.540093
-1.0,1,229.54234
1.0,1,229.544591
1.0,1,229.54682
1.0,4,229.550961
1.0,2,229.553886
1.0,5,229.558732
1.0,1,229.560997
-0.5,10,229.568828
1.0,1,229.571066
-1.0,1,229.573344
1.0,1,229.575582
-1.0,1,229.577873
-1.0,1,229.580084
1.0,1,229.582358
1.0,5,229.587081
1.0,1,229.589404
-1.0,1,229.59167
1.0,7,229.59765
1.0,4,229.601781
1.0,1,229.604058
1.0,1,300.769853
1.0,3,300.774358
1.0,2,300.777342
1.0,1,300.779825
1.0,1,300.782315
1.0,6,300.787908
-0.5,10,300.799023
1.0,1,300.802204
1.0,6,300.809109
1.0,1,300.811918
1.0,1,300.814705
1.0,3,300.818325
-0.5,10,300.827414
1.0,1,300.830409
-0.5,10,300.83819
1.0,3,300.841755
-0.5,10,300.849354
-1.0,2,300.852208
-0.5,10,300.85981
1.0,1,300.86201
-0.5,10,300.869656
-0.5,10,300.877248
1.0,9,300.885004
1.0,1,300.887425
1.0,4,300.892128
1.0,1,300.894897
1.0,4,300.900124
-0.5,10,300.908875
1.0,1,300.911369
-1.0,1,300.913576
1.0,9,300.9208
-0.5,10,300.929011
1.0,3,300.932462
1.0,1,300.935094
1.0,6,300.942861
1.0,1,300.945714
-0.5,10,300.954906
1.0,1,300.95767
1.0,1,300.960409
1.0,5,300.965375
-0.5,10,300.973537
1.0,1,300.976324
-0.5,10,300.983958
1.0,1,300.986212
1.0,1,300.988461
-0.5,10,300.996266
1.0,5,301.000908
1.0,4,301.005067
1.0,1,301.007408
1.0,1,301.009661
-0.5,10,358.986404
1.0,8,358.992956
1.0,1,358.995224
1.0,1,358.997432
1.0,10,359.005175
-1.0,1,359.007409
1.0,1,359.009633
-0.5,10,359.017102
1.0,1,359.01934
-0.5,10,359.026815
1.0,1,359.029059
1.0,4,359.033133
1.0,3,359.036553
1.0,3,359.040004
1.0,1,359.04229
-0.5,10,359.049766
-0.5,10,359.057162
1.0,1,359.059333
-0.5,10,359.066838
1.0,1,359.069062
1.0,1,359.071304
-0.5,10,359.078766
1.0,2,359.081637
-0.5,10,359.089115
1.0,1,359.091385
1.0,3,359.09485
-0.5,10,359.102375
1.0,1,359.104585
1.0,5,359.109225
1.0,6,359.114543
1.0,1,359.116786
1.0,1,359.11903
1.0,1,359.121264
1.0,1,359.123479
1.0,3,359.126929
-1.0,1,359.129155
-0.5,10,359.136593
1.0,6,359.141814
1.0,1,359.144011
1.0,1,359.146208
-0.5,10,359.153655
1.0,9,359.160771
-0.5,10,359.16835
1.0,1,359.170733
1.0,5,359.175404
1.0,2,359.178234
1.0,1,359.180487
-0.5,10,359.187942
-0.5,10,359.195424
1.0,1,359.197647
1.0,2,409.331718
1.0,1,409.33406
1.0,3,409.337717
-0.5,10,409.345448
1.0,6,409.350691
-0.5,10,409.358207
1.0,5,409.363027
-1.0,1,409.365275
1.0,1,409.367496
1.0,8,409.373988
1.0,1,409.376264
1.0,1,409.378535
1.0,1,409.380799
-0.5,10,409.388331
1.0,1,409.390608
1.0,2,409.393444
1.0,10,409.401149
1.0,1,409.403349
1.0,6,409.40861
1.0,5,409.413243
1.0,4,409.417292
1.0,9,409.424358
1.0,1,409.426587
-1.0,1,409.428823
1.0,1,409.431041
1.0,1,409.433282
-0.5,10,409.440734
-1.0,1,409.442978
1.0,5,409.447655
1.0,1,409.449901
